7zip 26.03-1.1
libdecor 0.2.5-1.1
libdeflate 1.26-1.1
libdex 1.1.0-1.1
libdicom 1.3.0-1.1
libdiscid 0.7.0-1.1
libdispatch 6.2.2-1.1
libdisplay-info 0.3.0-1.1
libdmapsharing 3.9.14-1.1
libdmtx 0.7.8-1.2
libdnet 1.18.2-1.1
libdng-git r59.438df53-1
libdovi 3.4.0-1.1
libdrm 2.4.134-1.1
libdv 1.0.0-12.1
libdvbpsi 1:1.3.3-4.1
libdvdnav 7.0.0-1.1
libdvdread 7.1.1-1.1
libebml 1.4.7-1.1
libebur128 1.2.6-2.1
libedataserverui4 3.60.2-4.1
libedit 20260512_3.1-1.1
libei 1.6.0-1
libelectron 2026.5-2
libelf 0.196-1.2
libepoxy 1.5.10-3.2
libesmtp 1.1.0-3.1
libev 4.33-5.1
libevdev 1.13.7-1.1
libevent 2.1.13-2.1
libewf 20140816-1
libexif 0.6.26-1.1
libfabric 2.6.0-1.1
libfakekey 0.3-4.1
libfbclient 5.0.4-1.1
libfdk-aac 2.0.3-2.1
libffi 3.8.0-1.1
libfido2 1.17.0-1.1
libfishsound 1.0.1-2.2
libfontenc 1.1.9-1.1
libfreeaptx 0.2.2-1.2
libfreexl 2.0.0-3.1
libftdi 1.5-10.1
libfyaml 0.9.6-3.1
libgcc 16.2.1+r23+gd564253eb6c8-1
libgccjit 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.3-1.1
libgdm 50.3-1.1
libgedit-amtk 5.10.0-1.1
libgedit-gfls 1:0.4.2-1.1
libgedit-gtksourceview 299.7.1-1.1
libgedit-tepl 6.14.0-2.1
libgee 0.20.8-1.2
libgeotiff 1.7.4-1.1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2.1
libgit2 1:1.9.7-1.1
libglvnd 1.7.0-3.1
libgme 0.6.5-1.1
libgnome-keyring 1:3.12.0.r14.g23438cc-2
libgnomekbd 1:3.28.1-2.1
libgnt 2.14.4-2.1
libgoa 3.58.1-1.1
libgomp 16.2.1+r23+gd564253eb6c8-1
libgoom2 2k4-5
libgovirt 2:0.3.11-1.1
libgpg-error 1.61-1.1
libgphoto2 2.5.34-1.1
libgpod 0.8.3-20.1
libgsf 1.14.58-1.1
libgsystemservice 0.3.0-2.1
libgtop 2.41.3-2.2
libgudev 238-3.1
libguestfs 1.60.1-1
libgusb 0.4.9-2.2
libgweather-4 4.6.0-1.1
libgxps 0.3.2-5.2
libhandy 1.8.3-2.2
libharu 2.4.6-1.1
libheif 1.23.3-1.1
libhwasan 16.2.1+r23+gd564253eb6c8-1
libibus 1.5.34-1.1
libical 4.0.5-1.1
libice 1.1.2-1.2
libid3tag 0.16.4-1.1
libidn 1.44-1.1
libidn2 2.3.8-1.1
libiec61883 1.2.0-9.1
libieee1284 0.2.11-19.1
libiio 0.26-5.1
libilbc 3.0.4-4.1
libimagequant 4.4.1-2.1
libimobiledevice 1.4.0-2.1
libimobiledevice-glue 1.3.2-1.1
libindicator 12.10.1-11.1
libinih 62-2.1
libinput 1.31.3-1.1
libiptcdata 1.0.5-5.1
libiscsi 1.20.3-1.1
libisl 0.28-1.1
libisoburn 1.5.8.2-1.1
libisofs 1.5.8.2-1
libjpeg6-turbo 3.2.0-1
libjxl 0.12.0-1.1
libkate 0.4.3-4.1
libkdcraw 26.08.0-1.1
libkexiv2 26.08.0-1.1
libkgapi 26.08.0-1.1
libkleo-git 6.7.43_r2896.g4b6fa69f-1
libklvanc 1.6.0-1.1
libkrun 1.19.4-1.1
libkrunfw 5.5.0-1.1
libksane 26.08.0-1.1
libksba 1.8.1-1.1
libkscreen 6.7.4-1.1
libksysguard 6.7.4-1.1
libktorrent 26.08.0-1.1
liblas 1.8.1.r145+g33097f17-3.1
liblc3 1.1.3-2.1
libldac 2.0.2.6-1.1
libldap 2.6.13-1.1
libldm 0.2.5-3.1
liblo 1:0.36-1.1
liblouis 3.38.0-1.1
liblphobos 3:1.43.0-1.1
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.2
liblsan 16.2.1+r23+gd564253eb6c8-1
libltc 1.3.2-2.2
libluasandbox 1.4.0-1
libluv 1.52.1-1.1
liblzf 3.6-5.2
libmad 0.15.1b-10.3
libmakepkg-dropins 20-2
libmalcontent 0.14.0-4
libmanette 0.2.13-2.1
libmatio 1.5.30-1.1
libmatroska 1.7.2-2
libmaxminddb 1.13.3-1.1
libmbim 1.34.0-1
libmd 1.2.0-1.1
libmediaart 1.9.7-2.1
libmediainfo 26.05-2.1
libmegapixels-git r123.c8b0fd9-1
libmemcached-awesome 1.1.4-4.1
libmfx 23.2.2-6.1
libmicrodns 0.2.0-2.2
libmicrohttpd 1.0.10-1.1
libmikmod 3.3.13-1.2
libmilter 8.18.2-1.1
libmm-glib 1.24.2-1
libmms 0.6.4-6.1
libmng 2.0.3-4.2
libmnl 1.0.5-2.2
libmodplug 0.8.9.0-7.1
libmpc 1.4.1-1.1
libmpcdec 1:0.1+r475-6.2
libmpeg2 0.5.1-11.1
libmspack 1:1.11-2.1
libmtp 1.1.23-1.1
libmupdf 1.28.0-1
libmysofa 1.3.5-1.1
libnautilus-extension 50.3-1.1
libnbd 1.24.3-1.1
libndp 1.9-1.2
libnet 2:1.3-2.1
libnetfilter_conntrack 1.1.1-1.1
libnetfilter_queue 1.0.5-2.2
libnewt 0.52.25-2.1
libnfc 1.8.0-3.1
libnfnetlink 1.0.2-2.2
libnfs 6.0.2-5.1
libnftnl 1.3.2-1.1
libnghttp2 1.70.0-1.1
libnghttp3 1.18.0-1.1
libngtcp2 1.25.0-1.1
libnice 0.1.24-1.1
libnids 1.26-6.1
libnl 3.12.0-1.1
libnm 1.58.1-1.1
libnma 1.10.6-3.2
libnma-common 1.10.6-3.2
libnma-gtk4 1.10.6-3.2
libnotify 0.8.8-1.1
libnsl 2.0.1-2.1
libnss_nis 3.4-1.1
libntfs-3g 2026.7.7-1.1
libnvme 1.16.2-2.1
liboauth 1:1.0.3+r16+gc26f038-2.2
libobjc 16.2.1+r23+gd564253eb6c8-1
libogg 1.3.6-1.1
liboggz 1.1.3-1.2
libolm 3.2.16-6.1
libomxil-bellagio 0.9.3-5.2
libopenmpt 0.8.9-1.1
libosinfo 1.12.0-3.1
libotr 4.1.1-6.1
libp11-kit 0.26.5-1.1
libpackagekit-glib 1.3.6-1.1
libpaper 2.2.8-1.1
libpathrs 0.2.5-2.1
libpcap 1.10.6-1.1
libpciaccess 0.19-1.1
libpeas 1.38.1-1.1
libpfm 4.13.0+r83+g91970fe-1.1
libpgm 5.3.128-4.1
libphonenumber 1:9.0.38-1.1
libpillowfight 0.3.1-4.1
libpipeline 1.5.8-1.2
libpipewire 1:1.6.8-1.1
libplacebo 7.360.1-6.1
libplasma 6.7.4-1.1
libplist 2.7.0-3.1
libpng 1.6.58-2
libportal 0.10.0-1.1
libportal-gtk3 0.10.0-1.1
libportal-gtk4 0.10.0-1.1
libportal-qt5 0.10.0-1.1
libportal-qt6 0.10.0-1.1
libppd 2.1.1-2.1
libprocps 3.3.17-4.2
libprojectm 4.1.6-2.1
libproxy 0.5.12-1.1
libpsl 0.21.5-2.2
libpst 0.6.76-10.1
libpulse 17.0+r98+gb096704c0-1.1
libpwquality 1.4.5-7.1
libqaccessibilityclient-qt6 0.6.0-4.1
libqalculate 5.12.0-1.1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libqtxdg 4.4.0-3.1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libquotient 0.9.6.1-2.1
librabbitmq-c 0.16.0-1.1
libraqm 0.11.0-1.1
libraw 0.22.2-1.1
libraw1394 2.1.2-4.2
librdkafka 2.14.2-1.1
libreoffice-dev-bin 26.8.0.3-1
libreoffice-extension-languagetool 6.4-2
librest 0.10.2-1.1
librist 0.2.20-1
librsvg 2:2.62.3-1
librsync 1:2.3.4-2.2
librttopo 1.1.0-6.1
libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libsaxonc 12.9.0-2
libscanmem 0.17-11.1
libseccomp 2.6.0-1
libsecret 0.21.7-1
libserialport 0.1.2-1.2
libshout 1:2.4.6-5.2
libshumate 1.6.3-1
libsigc++ 2.12.2-1.1
libsigc++-3.0 3.8.1-1.1
libsixel 1.10.5-1.2
libslirp 4.9.4-1.1
libsm 1.2.6-1.2
libsmf 1.3-13.1
libsndfile 1.2.2-4.1
libsodium 1.0.22-1.1
libsonic 0.2.0-2
libsoup 2.74.3-5
libsoup3 3.6.6-2.1
libsoxr 0.1.3-5.1
libspatialindex 2.1.0-1.1
libspatialite 5.1.0-4.1
libspectmorph 0.6.1-2.1
libspectre 0.2.12-2.2
libspeechd 0.12.1-3.1
libspelling 0.4.10-1.1
libspiro 1:20240903-1.2
libspng 0.7.4-4.1
libsrtp 1:2.8.0-1.1
libssc 0.4.4-1.1
libssh 0.12.2-1.1
libssh2 1.11.1-7.1
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1.1
libsynctex 2026.0-2.1
libsysprof-capture 50.0-6.1
libtasn1 4.21.0-1.1
libtatsu 1.0.5-1.1
libteam 1.32-3.1
libthai 0.1.30-1.1
libtheora 1.2.0-1.2
libtiff 4.7.2-1.1
libtiff5 4.4.0-2.2
libtiger 0.3.4-8.2
libtirpc 1.3.7-1.1
libtommath 1.3.0-2.1
libtool 2.6.2-5.1
libtorrent-rasterbar 1:2.1.1-2.1
libtpms 0.10.2-1
libtraceevent 1:1.9.0-1.1
libtracefs 1.8.3-1.1
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libuhd 4.9.0.1-8.1
libunibreak 7.0-1.1
libunicode 0.9.2-1.1
libuninameslist 20260107-1.1
libunistring 1.4.2-1.1
libunrar 1:7.2.7-1.1
libunwind 1.8.3-1.1
libupnp 1.14.31-1.1
liburcu 0.15.6-1.1
liburing 2.15-1.1
libusb 1.0.30-1.1
libusb-compat 0.1.9-1.1
libusbmuxd 2.1.1-2.1
libutempter 1.2.3-1.2
libutf8proc 2.11.3-1.1
libuv 1.52.1-2
libva 2.24.1-1.1
libva-intel-driver 2.4.5-1.1
libva-utils 2.24.0-1.1
libvdpau 1.5-4.1
libverto 0.3.2-6.1
libvhdi-git r197.eb3fce1-2
libvips 8.18.6-1.1
libvirt-dbus 1.4.1-4.2
libvirt-git 12.5.0.r18.g68da70aae7-1
libvirt-glib 5.0.0-3.2
libvirt-python 1:12.7.0-1.1
libvlc 3.0.23_2-13
libvncserver 0.9.15-1.1
libvoikko 4.3.3-3.1
libvolk 2:3.3.0-1.1
libvorbis 1.3.7-4.2
libvpl 2.17.0-1.1
libvpx 1.17.0-1.1
libvterm 0.3.3-2.2
libwacom 2.19.1-1.1
libwasmtime 40.0.0-1
libwbclient 2:4.24.6-1.1
libwebp 1.6.0-2.1
libwebp-utils 1.6.0-2.1
libwebsockets 4.5.8-3.1
libwireplumber 0.5.17-1.1
libwmf 0.2.16-1.1
libwnck3 43.3-1.1
libx11 1.8.13-1.1
libx86emu 3.7-2.1
libxau 1.0.12-1.2
libxaw 1.0.16-2.1
libxcb 1.17.0-1.2
libxcomposite 0.4.7-1.1
libxcrypt 4.5.2-1.1
libxcrypt-compat 4.5.2-1.1
libxcursor 1.2.3-1.2
libxcvt 0.1.3-1.2
libxdamage 1.1.7-1.1
libxdg-basedir 1.2.3-3.1
libxdmcp 1.1.5-2.1
libxdp 1.6.3-2.1
libxext 1.3.7-1.1
libxfce4util 4.20.1-1.2
libxfixes 6.0.2-1.1
libxfont2 2.0.9-1.1
libxft 2.3.9-1.2
libxi 1.8.3-1.1
libxinerama 1.1.6-1.1
libxkbcommon 1.13.2-1.1
libxkbcommon-x11 1.13.2-1.1
libxkbfile 1.2.0-1.1
libxklavier 5.4-7.1
libxml2 2.15.4-1.1
libxml2-legacy 2.13.9-2.1
libxmlb 0.3.29-1.1
libxmp 4.7.2-1.1
libxmu 1.3.1-1.1
libxnvctrl 610.57.04-1.1
libxp 1.0.4-3.2
libxpm 3.5.19-1.1
libxpresent 1.0.2-1.1
libxrandr 1.5.5-1.1
libxrender 0.9.12-1.2
libxres 1.2.3-1.1
libxshmfence 1.3.3-1.2
libxslt 1.1.45-2.1
libxss 1.2.5-1.1
libxt 1.3.1-1.2
libxtst 1.2.5-1.2
libxv 1.0.13-1.2
libxxf86vm 1.1.7-1.1
libyaml 0.2.5-3.2
libyuv r2921+644251f25-1.1
libzen 0.4.41-3.1
libzip 1.11.4-1.1
licenses 20240728-1
lidarr-develop 3.1.4.5029-1
lilv 0.28.0-1.1
lilypond 1:2.26.0-1.1
limesuite 23.11.0-9.1
linux-api-headers 7.2-1.1
linux-firmware-bnx2x-git 20260904.2f2bf38a-1
linux-firmware-git 20260904.2f2bf38a-1
linux-firmware-liquidio 20260810-2
linux-firmware-mellanox 20260810-2
linux-firmware-nfp 20260810-2
linux-firmware-qlogic 20260810-2
linux-firmware-whence-git 20260904.2f2bf38a-1
linux-lts 6.18.49-2.1
linux71-tkg-bore 7.1.3-273
linux71-tkg-bore-headers 7.1.3-273
linux73-tkg-bore 7.3.rc1-273
linux73-tkg-bore-headers 7.3.rc1-273
linuxconsole 1.8.1-3.1
linuxdeploy-appimage 1.alpha.20251107.1.r728.gcc7b864-1
lirc 1:0.10.2-6.1
litehtml 0.10-1.1
litehtml0.9 0.9-4
live-media 2025.05.24-1.1
lksctp-tools 1.0.21-1.2
llama.cpp-openvino b10714-1
llhttp 9.3.1-1.1
llvm-git 23.0.0_r585666.038606bcc370-1
llvm-julia-libs 18.1.7.4-3.1
llvm-libs 22.1.8-2.1
llvm-ocaml-git 23.0.0_r585666.038606bcc370-1
lm_sensors 1:3.6.2-1.1
lmdb 0.9.35-1.1
lnav 0.14.1-1.1
localsearch 3.11.2-1.1
lock 1.9.3-1
log4cplus 2.2.0.1-1.1
logrotate 3.22.0-1.2
lolcate 0.10.0-2
lorcon 2:2020.06.06-8.1
loupe 50.0-1
lrzip 0.660-1.1
lsb-release 2.0.r55.a25a4fc-1
lshw B.02.20-3.1
lsof 4.99.7-1.1
lspmux 0.3.0.r19.g18861f9-1
lsscsi 0.32-2.2
ltrace 0.8.1-1.1
lttng-ust 2.16.0-1
lua 5.5.1-1.1
lua-lpeg 1.1.0-5.1
lua51 5.1.5-13.1
lua51-lpeg 1.1.0-5.1
lua52 5.2.4-8.1
lua53 5.3.6-4.1
lua54 5.4.9-1.1
lua54-lpeg 1.1.0-5.1
luajit 2.1.1788460057+24c20c9-1.1
luametatex 2.11.08-1.1
luit 20250912-1.1
lv2 1.18.10-2.1
lvm2 2.03.42-1.1
lynis 3.1.7-1
lynx 2.9.3-1.1
lz4 1:1.10.0-2.2
lzfse 1.0-5
lzip 1.26-1.1
lzlib 1.16-1.1
lzo 2.10-5.3
lzop 1.04-4.2
m4 1.4.21-2.1
macchanger 1.7.0-6.2
magicrescue 1:v1.1.10.r8.gd9a5793-1
magiskboot-bin 30.7-1
mailcap 2.1.54-3
mailspring-git 1.23.0.r0.g5b37181-1
make 4.4.1-3.1
makepkg-optimize 22-1
malcontent 0.14.0-4
man-db 2.13.1-2.1
man-pages 6.19-1
mariadb-libs 12.3.3-2.1
marisa 0.3.1-1.4
masscan 1.3.2-2.2
master_me-ladspa 1.3.1-1.1
masterpdfeditor4 4.3.89-3
mat2 0.15.0-1
maturin-git 1.14.1.r40.ga6743cd7-1
mbedtls 4.2.0-1
mbedtls3 3.6.7-1.1
md4c 0.5.3-1.1
mdadm 4.6-2
mdcat 2.10.1-1
mdk4 4.2-2.1
media-player-info 26-1
mediainfo 26.05-1.1
mediamanager-git 1.10.0.r49.g0443981-1
mediamanager-git-debug 1.10.0.r49.g0443981-1
medusa 2.2-13.1
meilisearch-git r14263.c85dbae94-1
meld 3.24.0-2
mercurial 7.2.4-1.1
mergerfs 2.42.0-2
mergerfs-tools-git r117.80d6c95-1
mermaid-ascii-git 1.2.0.r4.g6fffb8e-1
mermaid-cli 11.16.0-2
mermaid-filter 1.4.7-1
mesa-git 26.3.0_devel.228855.ff4f94a4d2c.d41d8cd-1
mesa-utils 9.0.0-7.1
meson 1.12.0-1
meson-python 0.20.0-1
metals 1.5.2-1.1
metasploit 6.5.0-1.1
mfoc 0.10.7+38+gba072f1-2.2
milou 6.7.4-1.1
mimalloc 3.5.1-1.1
mimetreeparser 26.08.0-1.1
miniaudio 0.11.25-4.2
miniupnpc 2.3.3-3.1
minizip 1:1.3.2-3.1
minizip-ng 4.2.2-1.1
mission-center 1.2.0-1.1
mitmproxy 12.2.3-1
mjpegtools 2.2.1-4.1
mkinitcpio 41.1-1
mkinitcpio-archlogo 0.3.1-1
mkinitcpio-busybox 1.36.1-1.3
mkinitcpio-firmware 1.6.0-1
mkinitcpio-systemd-tool 40-1
mkinitcpio-utils 0.0.6-1
mkvtoolnix-cli 101.0-1.1
mlt 7.40.0-3.1
mobile-broadband-provider-info 20251101-1
mod_dnssd 0.6-10.1
modemmanager 1.24.2-1
modemmanager-qt 6.29.0-1.1
mold 2.42.0-1
mongo-c-driver 2.4.0-1.1
monolith 2.10.1-1.2
moonlight-qt-git 6.21.46.r0.g6856b26-1
mosquitto 2.1.2-2.1
mozjpeg 5.0.0.r279.g0826579-1
mpdecimal 4.0.1-3.1
mpeghdec 4.0.1-1
mpfr 4.2.2-1.2
mpg123 1.33.7-1.1
mpv-full-git 0.41.0.r895.g8c67647b50-1
mpv-modernz-git r1777.579897e-1
msgpack-c 7.0.1-1.1
msgraph 0.3.5-1.1
msitools 0.106-3.1
mtd-utils-git 1500.053ee10-1
mtdev 1.1.7-1.2
mtools 1:4.0.49-1.1
mtr 0.96-1.1
mujs 1.3.9-1.1
multimon-ng 1.4.1-1.1
muparser 2.3.5-2.1
mupdf 1.28.0-1
mupdf-tools 1.28.0-1
muse 4.2.1-8.1
mxml 3.3.1-2.2
mypy 2.1.0-2
nagelfar 1.3.5-1
namcap-git 3.6.0.r38.gca4273e-1
nano 9.2-1.1
nasm 3.02-1.1
nautilus-sendto 3.8.6+28+gc87aac4-4
nauty 1:2.9.3-1.1
nbtscan 1.7.2-2.2
ncnn-git 20260526.r43.g6a1bf000f-1
ncrack 0.7-3
ncurses 6.6-2.1
ncurses5-compat-libs 6.6-2
ndctl 85-1.1
neochat 26.08.0-1.1
neon 0.37.1-1.1
neovim 0.12.5-1.1
nerd-fonts-inter 4.1_3.5.0-2
net-snmp 5.9.5.2-1.1
net-tools 2.10-3.2
netavark 2.1.0-3.1
netcdf 4.9.3-4.1
netcdf-cxx 4.3.1-5.2
netcdf-fortran 4.6.2-1.1
netpbm 10.86.50-2.1
netsniff-ng 0.6.9-2.1
netstandard-targeting-pack 1:2.1.0-2
nettle 4.0-1
nettle3 3.10.2-2
network-manager-applet-nolibappindicator 1.36.0-1.3
networkd-dispatcher 2.2.4-0
networkmanager 1.58.1-1.1
networkmanager-dispatcher-chrony 2.3-2
networkmanager-qt 6.29.0-1.1
networkmanager-qt5 5.116.0-3
nfs-utils 2.9.2-1.1
nfsidmap 2.9.2-1.1
nftables 1:1.1.7-3.1
nginx 1.30.4-1.1
ngrep 1.49.0-1.1
nikto 2.6.0-2
nil-git 2025.06.13.r12.g504599f-1
nilfs-utils 2.3.1-1.1
ninja 1.13.2-3.1
njconnect 1.7-1.2
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-2.1
nmap-git 7.991.r83.g7339870-1
nmap-ncc-scripts-git r15.0a71040-1
node-gyp 13.0.2-1
nodejs 26.8.1-2
nodejs-lts-jod-stub 1-2
nodejs-nopt 10.0.1-1
nonraid-git 1.23.0.r3.gc1c7e74-1
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.09.01-1
npm 12.0.2-1
npth 1.8-1.2
nspr 4.40-1.1
nss 3.128-1.1
ntfs-3g 2026.7.7-1.1
ntfsprogs 2026.7.7-1.1
ntk 1.3.1001-4.2
ntsync-autoload 1-1
numactl 2.0.19-1.2
nuspell 5.1.8-1.1
nvm 0.40.5-1
nvtop 3.3.2-1.1
nzbhydra2 8.9.0-1
ob-xf-common 1.0.3-1.1
ob-xf-standalone 1.0.3-1.1
ocaml 5.5.0-1.1
ocaml-bigarray-compat 1.1.0-9.1
ocaml-compiler-libs 5.5.0-1.1
ocaml-ctypes 0.24.0-2.1
ocaml-findlib 1.9.8-7.1
ocaml-integers 0.8.0-1.1
ocaml-stdlib-shims 0.3.0-14
ocean-sound-theme 6.7.4-1
ocl-icd 2.3.5-1.1
ocrmypdf 17.11.0-1
odin2-synthesizer-common 2.4.1-2.1
odin2-synthesizer-lv2 2.4.1-2.1
odin2-synthesizer-standalone 2.4.1-2.1
odin2-synthesizer-vst3 2.4.1-2.1
odt2txt 0.5-6.2
oh-my-pi 18.1.11-1
okular 26.08.0-2.1
okular-backend-mupdf-git r94.fe6965e-1
omniroute-git 3.8.46.r4.g9cd18bf9-1
oneccl-arc 2022.0.0-1.1
onednn 3.11.3-1.1
onetbb 2023.1.0-1.1
oniguruma 6.9.10-1.2
onionshare 2.6.3-4
onnx 1:1.22.0-3.1
onnxruntime-git 1.29.0.r15148.3162778d1a7-1
open-iscsi 2.1.12-1.1
open-isns 0.103-1.2
openai-codex 0.153.4-1
openal 1.25.2-2.1
openapi-generator 7.25.0-1
openapv 0.2.1.3-1
openasar-git r864.5a44615-1
openblas 0.3.34-1.1
openblas64 0.3.34-1.1
openbsd-netcat 1.238_1-1.1
opencc 1.3.2-1.1
opencl-amd 1:10.0.0-1
opencl-clhpp 2026.05.29-1
opencl-headers 2:2026.05.29-1
opencode 1.18.29-1
opencolorio 2.5.1-1.1
opencore-amr 0.1.6-2.2
opencv 5.0.0-9
opendbx 1.4.6-13.1
opendkim 2.11.0beta2-1.1
openexr 3.4.15-1.1
opengl-man-pages 20260126-1
openh264 2.6.0-2.1
openimagedenoise 2.4.1-2
openjpeg2 2.5.4-1.1
openjph 0.31.0-1.1
openlibm 0.8.8-1.1
openmotif 2.3.8-4.1
openmp 22.1.8-1.1
openmpi 5.0.10-3.1
openpace 1.1.4-2.1
openpgp-ca 0.14.1-1.1
openpgp-ca-restd 0.14.1-1.1
openpgp-card-ssh-agent 0.3.7-1.1
openpgp-card-tool-git 0.1.8-1.1
openpgp-card-tools 0.11.13-1.1
openpmix 5.0.11-1.1
openresolv 3.17.4-1
opensc 0.27.1-2.1
openslide 4.0.1-2.1
openssh 10.5p1-1.1
openssl 3.6.4-1.1
openssl-1.0 1.0.2.u-6
openssl-1.1 1.1.1.w-4
opentimelineio 0.18.1-3.1
openucc 1.8.0-2.1
openucx 1.20.1-2.1
openvdb 13.0.0-3
openvino-genai 2026.2.0.dev20260512-1
openvino-git 2026.3.1.r546.gec4aa1d1588-1
openvino-intel-gpu-plugin-git 2026.3.1.r546.gec4aa1d1588-1
openvino-models 3.7.1_R4.2-3
openvkl 2.0.2-1.1
openvr 2.15.6-2.1
openxr 1.1.60-2.1
opnplug-standalone 1.0.2-13.1
optiimage 1.0.0-4.1
optipng 7.9.1-1.1
opus 1.6.1-1.1
opusfile 0.12-4.2
orc 0.4.43-1
osbuild 192-1
osinfo-db 20260812-1
ospray 3.2.0-8.1
ostree 2026.4-1.1
ot-cryptid-docs 1.0.2-2.1
ot-cryptid-standalone 1.0.2-2.1
ot-keys-docs 1.0.1-2.1
ot-keys-standalone 1.0.1-2.1
ot-simian-docs 2.0.2-2.1
ot-simian-standalone 2.0.2-2.1
ot-urchin-docs 1.0.2-2.1
ot-urchin-standalone 1.0.2-2.1
otf-font-awesome 7.3.1-1
otf-font-awesome-4 4.7.0-7.1
otf-geist 1.8.0-1
otf-geist-mono 1.8.0-1
otf-libertinus 7.051-1
ovms 2026.3.1-1
oxipng 10.2.1-1.1
oxygen 6.7.4-2.1
oxygen-cursors 6.7.4-2.1
oxygen-icons 1:6.29.0-1
oxygen-icons-svg 1:6.29.0-1
oxygen-sounds 6.7.4-1
p0f 3.09b-3
p11-kit 0.26.5-1.1
p8-platform 2.1.0.1-5.1
packagekit 1.3.6-1.1
packagekit-qt6 1.1.4-2.1
packer 1.16.0-1.1
packeth 3.0-2.1
pacman 7.1.0.r9.g54d9411-2.1
pacman-contrib 1.13.1-1.1
pacman-mirrorlist 20260610-1
pahole 1:1.31-2.1
pam 1.7.2-2.1
pambase 20260616-1
pandoc-cli 3.10.2-7
pandoc-crossref 0.3.20-7
pandoc-plot 1.9.2-56
pango-git 1:1.58.0.r1.g792093ce-1
pangomm 2.46.5-1.1
pangomm-2.48 2.56.2-1.1
paper-clip 5.5.2-2.1
paperkey 1.6-5.2
par2cmdline-turbo 1.5.0-1
parallel 20260722-1
paraview-catalyst 2.1.0-1.1
parted 3.7-1.1
partitionmanager 26.08.0-1.1
paru-git 2.1.0.r67.g9ac3578-1.1
passt 2026_07_28.f8df3f1-1.1
patch 2.8-1.2
patchelf 0.19.1-1.1
patchmatrix 0.26.0-5.1
patchutils 0.4.5-1.1
pbtk-git 1.1.1post1-1
pbzip2 1.1.13-5.1
pcaudiolib 1.3-1.2
pciutils 3.15.0-1.1
pcp 7.2.0-2.1
pcp-gui 7.2.0-2.1
pcp-pmda-libvirt 7.2.0-2.1
pcre 8.45-5.1
pcre2 10.48-1.1
pcsclite 2.5.1-1.1
pd 0.56.5-2.1
pd-lua 0.12.23-2.1
pdal 2.10.1-1.1
pdf2png 0.5.3-1.5
pdfarranger 1.14.0-1
pdfbox 3.0.8-1
pdfcrack 0.21-1.1
pdfio 1.6.5-1.1
pdfmixtool-git r640.e0ea064-1
pdfslicer 1.8.8-8.1
peda 1.2-7
peg 0.1.19-1.2
perf 7.2.3-1.1
perl 5.42.2-2.1
perl-archive-cpio 0.10-12
perl-archive-zip 1.68-12
perl-capture-tiny 0.50-4
perl-class-inspector 1.36-10
perl-clone 0.50-1.1
perl-config-inifiles 3.000003-1
perl-data-optlist 0.115-1
perl-digest-hmac 1.05-3
perl-digest-sha1 2.13-22.1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-exporter-tiny 1.006003-1
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-gd 2.91-1.1
perl-graphics-tiff 21-3.1
perl-html-parser 3.85-1.1
perl-html-tagset 3.24-4
perl-html-tree 5.07-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.12-1
perl-http-daemon 6.17-1
perl-http-date 6.08-1
perl-http-message 7.04-1
perl-http-negotiate 6.01-16
perl-image-exiftool 13.55-1
perl-inc-latest 0.500-15
perl-io-html 1.004-8
perl-io-socket-ssl 2.099-1
perl-io-stringy 2.113-2
perl-ipc-run3 0.049-4
perl-json 4.11-1
perl-libintl-perl 1.37-1.1
perl-libwww 6.83-1
perl-list-moreutils 0.430-8
perl-list-moreutils-xs 0.430-7.1
perl-locale-gettext 1.07-16.1
perl-lwp-mediatypes 6.05-1
perl-lwp-protocol-https 6.17-1
perl-mailtools 2.22-3
perl-mime-base32 1.303-13
perl-mime-charset 1.013.1-6
perl-module-build 0.4234-6
perl-net-cups 0.64-2
perl-net-dns 1.57-1
perl-net-http 6.24-2
perl-net-ssleay 1.96-1.1
perl-params-someutil 1.09-1.1
perl-params-util 1.102-7.1
perl-pod-parser 1.67-4
perl-socket6 0.29-11.1
perl-sub-exporter 0.992-1
perl-sub-identify 0.14-14.1
perl-sub-install 0.929-4
perl-sub-override 0.12-3
perl-sub-prototype 0.03-3.1
perl-super 1.20190531-10
perl-sys-virt 12.7.0-1.1
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-unicode-linebreak 2019.001-9.1
perl-uri 5.37-1
perl-www-robotrules 6.03-1
perl-xml-parser 2.59-1.1
