7zip 26.03-1.1
faac 2.1-1.1
faad2 2.11.3-1.1
faiss-cpu 1.14.3-1.1
fakeroot 1:1.37.2-3.1
falcosecurity-libs 0.23.2-5.1
falkon 26.08.0-1.1
fast_float 8.2.10-1
fastfetch-gif-git 2.42.0-2
fastjar 0.98-7.2
faudio 26.08-1
faust 2.85.9-1.1
faustpp 1.0.0-5
fcrackzip 1.0-6.2
fd 10.5.0-3.1
ffmpeg-obs 9.0.1-1.3
ffmpeg4.4 4.4.8-5.1
ffmpegthumbs 26.08.0-1.1
ffnvcodec-headers 13.1.15.0-1
fftw 3.3.11-1.1
fig2dev 3.2.9-2.1
fil-plugins 0.3.0-9.1
file 5.48-1.1
filelight 26.08.0-1.1
filesystem 2025.10.12-1
findomain 10.0.1-2.1
findutils 4.11.0-1
firefox-nightly 155.0a1+20260805.22+hbb3ac5a21-1
firmware-mod-kit 1:0.99.r119.gc72f45d-1
flac-git 1.5.0.r31.gb430c3a5-1
flameshot-git r2314.6a635d2d-1
flaresolverr 3.5.0-1
flashrom 1.8.0-1.1
flatbuffers 25.12.19-4.1
flatpak 1:1.18.2-1
flatpak-kcm 6.7.4-1.1
flawfinder 2.0.20-1
flex 2.6.4-6.1
flite1 1.4-7.1
fltk 1.4.5-2.1
fltk1.3 1.3.11-4.1
fluidsynth 2.6.0-1.1
fmt 12.2.0-1.1
folks 0.15.12-1.1
fontconfig 2:2.18.3-2
fontforge 20251009-5.1
fop 2.11-3
foremost 1.5.7-7.2
forgejo-cli 0.6.0-5.1
fping 5.5-1.1
frameworkintegration 6.29.0-1.1
frameworkintegration5 5.116.0-3.1
freeglut 3.8.0-1.1
freehdl 0.0.8-14.1
freeipmi 1.6.19-1.1
freeradius 3.2.10-1.1
freerdp 2:3.31.1-1.1
freetds 1.5.19-1.1
freetype2-git 1:2.14.3+p93+g3db2c32d6-1
freewheeling 0.6.6-9.1
frei0r-plugins 3.5.0-1.1
fribidi 1.0.16-2.1
ftgl 2.4.0-4.1
furnace 0.6.8.3-3.1
fuse-common 3.18.2-1.1
fuse2 2.9.9-6.1
fuse2fs 1.47.4-1.1
fuse3 3.18.2-1.1
futuresql 0.1.1-4.1
fwupd-efi 1.8-2
fzf-extras 0.3.1-1
fzf-git 2:v0.74.0.r4.g1462f135-1
g2reverb 0.7.1-8.1
gamemode 1.8.2-3.1
gamescope-git 3.16.28.r87.gad26ec4-1
garage 2.3.0-1.1
gavl 2.0.1-2.1
gawk 5.4.1-1.1
gc 8.2.12-1.1
gcab 1.6-2.2
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-fortran 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdal 3.13.3-2.1
gdb 17.2-1.1
gdb-common 17.2-1.1
gdbm 1.26-2.1
gdk-pixbuf2 2.44.7-1.1
gedit 50.0-3.1
gedit-plugins 50.0-3.1
gemini-cli 1:0.50.0-1.1
gendesk 1.0.15-1.1
geoclue 2.8.2-1.1
geocode-glib 3.26.4-6.1
geoip 1.6.12-3.2
geoip-database 20260204-1
geoipupdate 8.0.0-1.1
geonkick-common 3.7.0-3.1
geonkick-standalone 3.7.0-3.1
geos 3.14.1-2.1
gettext 1.0-2.1
gexiv2 0.16.2-2.1
gexiv2-common 0.16.2-2.1
gflags 2.2.2-6.1
gfxstream 0.1.2-2.1
ghc 9.6.6-1.1
ghc-libs 9.6.6-1.1
ghidra 12.1.2-2.1
ghostscript-git 10.07.r11394.gcac551e01-1
gi-docgen 2026.1-1
gif2png 3.0.3-2.1
giflib 6.1.3-2.1
gifski 1.34.0-3
girara 2026.07.18-1.1
git 2.55.0-1.1
git-imerge 1.2.0-4
git-lfs 3.8.0-1.1
github-cli 2.100.0-1.1
github-copilot-cli 1.0.83-1
gitleaks 8.30.1-1.1
gjs 2:1.88.1-1.1
gl2ps 1.4.2-4.1
glab 1.116.0-1.1
glance-git 0.8.4.r9.g6c5b7a3-1
glew 2.3.1-1.1
glfw 1:3.5.1-1.1
glib-networking 1:2.80.1-1.2
glib2 2.88.3-1.1
glib2-devel 2.88.3-1.1
glib2-docs 2.88.3-1.1
glibc 2.44+r24+g16be1518495f-1
glibmm 2.66.10-1.1
glibmm-2.68 2.88.1-1.1
glm 1.0.3-1.1
glow 3.0.0-2.1
glpk 5.0-3.1
glslang 1:1.4.357.0-1.1
glu 9.0.3-3.1
glycin 2.1.5-2.1
glycin-gtk4 2.1.5-2.1
gmp 6.3.0-3.1
gnome-app-list 3.0-1
gnome-autoar 0.5.2-1.1
gnome-backgrounds 50.0-1
gnome-bluetooth-3.0 47.2-1.1
gnome-desktop 1:44.5-1.1
gnome-desktop-4 1:44.5-1.1
gnome-desktop-common 1:44.5-1.1
gnome-keybindings 50.4-1.1
gnome-online-accounts 3.58.1-1.1
gnome-remote-desktop 50.2-1.1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-3.1
gnuplot 6.0.5-1.1
gnuradio 3.10.12.0-17.1
gnuradio-iqbal 0.38.3-3.1
gnuradio-osmosdr 0.2.6-19.1
gnustep-base 1.31.1-3.1
gnutls 3.8.13-2.1
go 2:1.27.0-1.1
gobject-introspection 1.86.0-2.1
gobject-introspection-runtime 1.86.0-2.1
gobuster 3.8.2-1.1
gocryptfs 2.6.1-1.1
gom 0.5.6-1.1
google-chrome 152.0.7977.82-1
google-chrome-dev 154.0.8025.0-1
google-cloud-cli 583.0.0-1
google-cloud-cli-component-gke-gcloud-auth-plugin 583.0.0-1
google-crc32c 1.1.2-1
google-glog 0.7.1-2.1
gopls 0.23.0-1.1
goreleaser 2.14.0-2.1
gpart 0.3-6.1
gparted 1.8.1-2.1
gperf 3.3-2.1
gperftools 2.18.1-1.1
gpg-tui 0.11.2-1.1
gpgme 2.2.0-1
gpgmepp 2.2.0-1.1
gpm 1.20.7.r38.ge82d1a6-6.1
gptfdisk 1.0.10-2.1
gpu-viewer 4.00-1.1
gqrx 2.17.7-2.1
gradle 9.7.1-1
graphene 1.10.8-2.2
graphicsmagick 1.3.48-1.1
graphite 1:1.3.15-1
graphviz 16.0.0-1
grep 3.12-2.1
grilo 0.3.19-2.1
grim 1.5.0-2.1
groff 1.24.1-1.1
grpc 1.83.1-1.1
grpc-cli 1.83.1-1.1
grpcurl 1.9.3-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsl 2.8-1
